SALES_YEAR,COUNTRY_OR_TERRITORY,TIRE_SIZE,RIM_SIZE,TOTAL_INDUSTRY_SALES,SOM_OF_SIZES,GOODYEAR_SALES,OTHERS_SALES,SOM_OF_BRAND,BRAND_NAME,DESIGN_NAME,BRAND_TYPE,GOODYEAR_BRAND_SALES,GOODYEAR_PATTERN_SALES,GOODYEAR_PATTERN_RANK_BY_SIZE_BRAND,COMPETITOR_BRAND,COMPETITOR_BRAND_SALES,COMPETITOR_SOM,COMPETITOR_PATTERN,COMPETITOR_PATTERN_SALES,COMPETITOR_PATTERN_RANK_BY_SIZE_BRAND,TOP_5_FITMENTS
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Glede,1.9801,1.459760195e-06,TERCEL G 35,1.9801,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Jauto,3.2743,2.413864354e-06,JDH18,3.2743,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Bearway,6.7041,4.942365702e-06,BW668,6.7041,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Hilo,11.6250,8.570128918e-06,SPORT XV1,7.6427,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Hilo,11.6250,8.570128918e-06,ARCTIC S-9,3.9823,2,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Pace,11.7573,8.667662515e-06,ALVENTI,11.7573,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Constancy,13.1740,9.712075559e-06,LY566,13.1740,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Primus,14.1963,1.046573085e-05,VANTAGE H-7,14.1963,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Yatone,18.9755,1.398903065e-05,WINTER PRO,18.9755,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Kenda,20.5824,1.517366206e-05,KR50 KLEVER H/T,20.5824,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
